A,,B,,C,
T,V,T,V,T,V
6.758137,714.3291,6.758137,3932.737,6.758137,952.8276
6.805956,678.7089,6.805956,3760.204,6.805956,903.754
6.853771,677.5767,6.853771,3653.86,6.853771,842.0483
6.901588,660.4431,6.901588,3549.426,6.901588,787.5862
6.949402,635.1744,6.949402,3485.68,6.949402,792.3609
6.997215,556.7412,6.997215,3427.269,6.997215,821.6207
7.045029,524.564,7.045029,3407.85,7.045029,872.8253
7.092838,502.3699,7.092838,3383.147,7.092838,927.977
7.140648,496.7904,7.140648,3319.143,7.140648,950.8597
7.188457,503.3629,7.188457,3227.417,7.188457,936.6598
7.236263,553.3952,7.236263,3131.931,7.236263,913.5402
7.284069,624.4205,7.284069,3048.714,7.284069,903.0552
7.331871,665.0422,7.331871,2981.216,7.331871,913.5517
7.379673,675.2855,7.379673,2901.614,7.379673,935.5287
7.427475,647.0731,7.427475,2866.276,7.427475,914.5977
7.475273,622.0801,7.475273,2883.376,7.475273,852.469
7.523071,577.9001,7.523071,2987.544,7.523071,788.5287
7.570869,554.4613,7.570869,3058.949,7.570869,717.4069
7.618664,541.0647,7.618664,3109.792,7.618664,688.6827
7.666458,559.4417,7.666458,3117.525,7.666458,681.1678
7.714252,608.9423,7.714252,3108.321,7.714252,679.3448
7.762043,654.4233,7.762043,3042.968,7.762043,679.5839
7.809834,639.9367,7.809834,2926.632,7.809834,686.7495
7.857624,571.0098,7.857624,2799.494,7.857624,687.8161
7.905411,481.2982,7.905411,2710.743,7.905411,672.8276
7.953197,418.2771,7.953197,2675.44,7.953197,639.9862
8.000984,400.4023,8.000984,2668.506,8.000984,593.308
8.048767,406.3446,8.048767,2683.276,8.048767,580.6689
8.09655,416.2982,8.09655,2677.921,8.09655,588.4828
8.144333,445.0295,8.144333,2631.844,8.144333,617.5356
8.192112,475.8664,8.192112,2598.346,8.192112,618.3242
8.239891,510.0788,8.239891,2537.474,8.239891,602.908
8.28767,540.2953,8.28767,2486.25,8.28767,571.7678
8.335445,561.0464,8.335445,2456.147,8.335445,553.3632
8.383221,581.609,8.383221,2407.025,8.383221,585.2598
8.430996,585.1448,8.430996,2350.997,8.430996,627.7701
8.478767,589.6076,8.478767,2279.417,8.478767,678.9356
8.526539,623.5724,8.526539,2263.864,8.526539,701.8644
8.57431,625.5809,8.57431,2306.233,8.57431,664.4575
8.622078,654.5457,8.622078,2370.673,8.622078,622.7908
8.669846,669.8832,8.669846,2417.598,8.669846,587.9333
8.717613,658.0886,8.717613,2399.395,8.717613,575.0253
8.765377,593.9888,8.765377,2280.083,8.765377,612.7034
8.813141,532.1829,8.813141,2112.293,8.813141,670.8391
8.860905,501.2658,8.860905,2019.313,8.860905,688.4575
8.908669,491.8636,8.908669,2021.134,8.908669,670.177
8.956429,500.4796,8.956429,2090.086,8.956429,640.869
9.004189,487.8411,9.004189,2163.697,9.004189,591.6115
9.051949,447.7975,9.051949,2241.03,9.051949,596.2161
9.099705,418.9283,9.099705,2265.608,9.099705,599.8483
9.147461,446.4261,9.147461,2267.409,9.147461,607.1632
9.195217,485.7173,9.195217,2239.177,9.195217,577.1701
9.24297,478.4051,9.24297,2213.943,9.24297,559.5908
9.290722,429.0478,9.290722,2197.556,9.290722,552.4781
9.338474,377.5555,9.338474,2186.337,9.338474,531.7931
9.386223,358.6034,9.386223,2168.645,9.386223,496.469
9.433971,366.6709,9.433971,2135.679,9.433971,464.2345
9.48172,398.0816,9.48172,2094.461,9.48172,464.9816
9.529469,435.8931,9.529469,2053.409,9.529469,488.8851
9.577213,447.8087,9.577213,2036.525,9.577213,518.2805
9.624958,443.1561,9.624958,2038.158,9.624958,536.8023
9.672703,436.5387,9.672703,2040.139,9.672703,543.2919
9.720444,437.948,9.720444,1989.881,9.720444,521.4943
9.768185,450.5246,9.768185,1912.762,9.768185,487.2851
9.815926,450.8439,9.815926,1845.948,9.815926,493.1954
9.863667,447.4782,9.863667,1837.652,9.863667,507.2782
9.911404,437.3291,9.911404,1842.518,9.911404,511.3701
9.959141,411.8298,9.959141,1868.095,9.959141,483.7678
10.00688,405.5007,10.00688,1914.458,10.00688,449
10.05461,381.5316,10.05461,1938.679,10.05461,453.2207
10.10234,357.3657,10.10234,1926.379,10.10234,480.8023
10.15008,324.2152,10.15008,1891.467,10.15008,515.1908
10.19781,306.353,10.19781,1844.571,10.19781,541.0368
10.24554,330.1069,10.24554,1790.581,10.24554,562.6943
10.29327,374,10.29327,1761.317,10.29327,548.3035
10.341,400.5935,10.341,1757.915,10.341,514.0322
