A,,B,,C,
T,V,T,V,T,V
44.54068,97.82138,44.54068,194.2829,44.54068,50.73793
44.5887,91.54712,44.5887,171.2687,44.5887,61.8069
44.63672,80.1744,44.63672,142.8727,44.63672,65.33793
44.68475,74.91702,44.68475,141.5799,44.68475,74.55862
44.73278,69.68073,44.73278,141.7228,44.73278,65.8092
44.7808,68.05486,44.7808,142.5799,44.7808,59.20919
44.82884,71.62729,44.82884,159.2221,44.82884,63.72414
44.87687,73.70323,44.87687,174.5743,44.87687,66.84138
44.92491,85.08298,44.92491,180.9873,44.92491,73.98161
44.97294,96.63713,44.97294,216.331,44.97294,73.85977
45.02098,99.32068,45.02098,232.082,45.02098,73.04828
45.06903,94.92405,45.06903,245.0566,45.06903,74.84827
45.11707,84.58649,45.11707,234.6719,45.11707,61.86897
45.16511,76.47398,45.16511,221.7793,45.16511,57.71264
45.21316,64.7384,45.21316,221.0424,45.21316,49.41379
45.26121,75.80872,45.26121,233.0509,45.26121,47.82529
45.30926,87.17862,45.30926,231.8883,45.30926,39.89195
45.35731,108.9072,45.35731,221.7143,45.35731,49.91494
45.40537,125.1955,45.40537,212.4809,45.40537,48.9954
45.45343,135.0253,45.45343,213.1612,45.45343,61.47586
45.50148,116.6582,45.50148,248.4951,45.50148,74.5977
45.54955,100.8439,45.54955,280.7652,45.54955,80.23448
45.59761,80.5443,45.59761,298.8345,45.59761,77.3954
45.64568,63.02391,45.64568,299.3182,45.64568,77.86436
45.69374,71.12377,45.69374,265.6959,45.69374,65.56092
45.74182,84.34177,45.74182,226.9194,45.74182,67.06437
45.78989,106.9128,45.78989,212.6025,45.78989,71.17931
45.83796,130.301,45.83796,198.744,45.83796,70.11494
45.88604,145.1744,45.88604,198.1358,45.88604,57.34483
45.93412,142.7482,45.93412,224.6648,45.93412,55.15632
45.9822,143.5527,45.9822,241.1471,45.9822,54.75402
46.03028,116.7145,46.03028,221.0156,46.03028,44.04138
46.07836,91.23066,46.07836,202.6422,46.07836,41.24828
46.12645,73.3896,46.12645,190.0099,46.12645,43.95862
46.17453,72.33896,46.17453,194.4625,46.17453,47.45057
46.22262,71.3896,46.22262,202.9774,46.22262,55.57931
46.27071,66.38818,46.27071,208.4979,46.27071,70
46.31881,56.31364,46.31881,202.5969,46.31881,65.03908
46.3669,61.04641,46.3669,192.5191,46.3669,48.75402
46.415,65.2602,46.415,174.5262,46.415,44.31494
46.4631,76.55134,46.4631,168.7822,46.4631,30.6069
46.5112,96.05204,46.5112,160.4314,46.5112,25.93563
46.55931,107.4008,46.55931,165.2263,46.55931,36.68966
46.60741,120.8734,46.60741,177.0453,46.60741,41.16782
46.65552,139.6245,46.65552,171.024,46.65552,42.65747
46.70363,150.0647,46.70363,168.3536,46.70363,43.76781
46.75174,139.1941,46.75174,152.9547,46.75174,47.88276
46.79985,117.0788,46.79985,160.0679,46.79985,43.0092
46.84797,104.6301,46.84797,149.4385,46.84797,52.89655
46.89609,119.2236,46.89609,148.338,46.89609,52.24138
46.94421,126.3066,46.94421,146.4653,46.94421,54.69425
46.99234,125.6667,46.99234,156.8543,46.99234,49.07356
47.04046,101.9255,47.04046,169.6365,47.04046,39.83678
47.08859,80.23207,47.08859,166.3027,47.08859,40.17701
47.13671,75.53446,47.13671,151.8444,47.13671,44.34023
47.18485,74.218,47.18485,149.2475,47.18485,49.6069
47.23298,81.12939,47.23298,155.1372,47.23298,47.7977
47.28112,99.4993,47.28112,173.8091,47.28112,41.54713
47.32925,121.5837,47.32925,182.0537,47.32925,40.66667
47.37739,127.4965,47.37739,193.1796,47.37739,29.62069
47.42553,135.09,47.42553,192.0099,47.42553,32.08046
47.47367,154,47.47367,190.4059,47.47367,24.68736
47.52182,176.3263,47.52182,179.9519,47.52182,31.08506
47.56997,187.0928,47.56997,177.0608,47.56997,41.23678
47.61812,170.4599,47.61812,178.8147,47.61812,38.54713
47.66627,139.5556,47.66627,159.9816,47.66627,52.57701
47.71443,117.8158,47.71443,145.9137,47.71443,37.83678
47.76258,103.8509,47.76258,135.2574,47.76258,39.0046
47.81074,120.73,47.81074,137.1726,47.81074,38.90345
47.85891,145.0295,47.85891,156.041,47.85891,42.77011
47.90707,152.7271,47.90707,189.355,47.90707,39.96092
47.95523,140.3544,47.95523,213.5516,47.95523,53.11954
48.0034,112.6526,48.0034,217.2037,48.0034,48.1908
48.05157,92.74683,48.05157,189.0198,48.05157,33.46437
48.09974,91.54993,48.09974,170.3989,48.09974,26.98161
48.14791,89.23066,48.14791,169.082,48.14791,29.02988
48.19609,93.79044,48.19609,192.5191,48.19609,36.14483
48.24427,95.07877,48.24427,196.7143,48.24427,38.25287
48.29245,87.00844,48.29245,204.2532,48.29245,33.17701
48.34063,82.69621,48.34063,214.8854,48.34063,31.65747
48.38882,76.26301,48.38882,227.5049,48.38882,37.34483
48.43701,59.65541,48.43701,215.338,48.43701,50.26437
48.4852,62.87623,48.4852,210.355,48.4852,51.48276
