52	149	1
55	141	1
56	74	1
58	125	1
61	53	1
64	107	1
70	26	1
73	90	1
72	8	1
76	73	1
82	57	1
86	50	1
90	44	1
95	0	0
109	21	0
40	114	0
45	115	0
134	179	1
119	171	1
129	159	1
113	151	1
110	143	1
106	134	1
104	125	1
100	116	1
97	107	1
96	98	1
94	89	1
90	82	1
89	74	1
85	65	1
84	57	1
81	48	0
79	40	0
81	36	1
83	31	1
84	19	1
85	11	1
88	5	0
92	7	0
90	6	0
81	21	0
24	48	0
20	135	0
157	207	0
147	201	1
150	196	1
152	187	1
153	181	1
156	171	1
158	162	1
162	150	1
164	142	1
168	133	1
173	123	1
87	117	2
177	110	2
181	113	2
116	175	1
116	162	1
122	114	1
124	145	1
132	137	1
102	131	0
192	89	0
136	82	0
134	77	0
140	86	0
88	81	0
88	85	0
84	134	1
137	126	1
136	118	1
87	110	1
82	100	0
78	94	0
79	94	0
113	143	1
103	135	1
100	127	1
96	118	1
96	109	1
92	100	1
87	91	1
84	82	1
82	75	1
79	66	0
78	62	0
81	63	0
75	142	0
69	135	1
69	127	1
70	118	1
71	110	1
70	100	1
73	91	1
73	82	1
72	74	1
74	64	1
76	58	0
80	56	0
17	112	0
62	135	0
65	136	1
69	130	1
255	121	1
151	115	1
109	107	1
90	101	1
137	92	1
103	86	1
106	89	1
111	102	0
132	115	0
74	106	0
75	105	1
132	102	1
137	96	1
91	90	1
134	81	1
101	76	1
107	83	1
125	62	1
90	108	0
59	98	0
55	94	1
57	89	1
59	81	1
61	73	1
64	68	0
59	177	0
74	152	0
73	148	1
74	141	1
75	131	1
79	122	1
81	113	1
81	104	1
85	94	1
87	87	1
87	79	1
91	70	1
96	61	1
97	55	1
100	48	0
117	131	0
129	112	0
51	112	0
117	213	1
82	110	1
129	107	1
125	172	1
127	95	1
117	87	1
127	81	1
120	104	0
78	117	0
74	111	1
74	43	1
74	96	1
77	9	1
77	80	1
0	71	1
84	62	1
88	54	1
75	46	1
90	41	0
111	60	0
48	125	0
36	120	1
49	112	1
55	104	1
54	96	1
57	88	1
62	80	1
64	72	1
67	65	1
71	62	0
99	154	0
64	146	0
63	143	1
66	135	1
69	127	1
72	121	1
76	112	1
79	102	1
83	93	1
85	86	1
69	76	1
93	70	1
98	63	1
107	54	1
105	296	1
114	123	0
111	113	0
209	101	0
43	97	0
295	99	1
116	94	1
110	87	1
62	82	1
68	182	1
103	175	1
104	120	1
101	111	1
105	145	1
105	137	1
111	85	0
44	80	0
41	112	0
42	109	0
73	114	1
129	105	1
129	102	1
124	98	1
120	109	1
119	83	1
116	79	1
86	74	1

